[14:11:28.183] [x64:77377000]: ea 09                               int 0x2e                           
[14:11:29.402] [main-module:00F11000]: c7 05 c7 c6 f2 00 f5 ff ff ff       mov dword ptr [0xf2c6c7], 0xfffffff5
[14:11:29.402] [main-module:00F1100A]: be 2b c0 f2 00                      mov esi, 0xf2c02b                  
[14:11:29.402] [main-module:00F1100F]: e8 04 05 00 00                      call 0xf11518                      
[14:11:29.402] [main-module:00F11518]: ff 35 c7 c6 f2 00                   push dword ptr [0xf2c6c7]          
[14:11:29.402] [main-module:00F1151E]: ff 15 48 40 f3 00                   call dword ptr [0xf34048]          
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
[14:11:29.402] [main-module:00F11524]: 89 c5                               mov ebp, eax                       
[14:11:29.402] [main-module:00F11526]: 89 f7                               mov edi, esi                       
[14:11:29.402] [main-module:00F11528]: 83 c9 ff                            or ecx, 0xffffffff                 
[14:11:29.402] [main-module:00F1152B]: 30 c0                               xor al, al                         
[14:11:29.402] [main-module:00F1152D]: f2 ae                               repne scasb byte ptr [edi]         
[14:11:29.402] [main-module:00F1152F]: f7 d9                               neg ecx                            
[14:11:29.402] [main-module:00F11531]: 83 e9 02                            sub ecx, 0x2                       
[14:11:29.402] [main-module:00F11534]: 6a 00                               push 0x0                           
[14:11:29.402] [main-module:00F11536]: 68 d7 c6 f2 00                      push 0xf2c6d7                      
[14:11:29.402] [main-module:00F1153B]: 51                                  push ecx                           
[14:11:29.402] [main-module:00F1153C]: 56                                  push esi                           
[14:11:29.402] [main-module:00F1153D]: 55                                  push ebp                           
[14:11:29.402] [main-module:00F1153E]: ff 15 34 40 f3 00                   call dword ptr [0xf34034]          
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, "flat assembler  version 1.73., (DWORD)0x0000001F, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
[14:11:29.402] [main-module:00F11544]: c3                                  ret                                
[14:11:29.402] [main-module:00F11014]: e8 f2 00 00 00                      call 0xf1110b                      
[14:11:29.402] [main-module:00F1110B]: c7 05 c4 c1 f2 00 00 00 00 00       mov dword ptr [0xf2c1c4], 0x0      
[14:11:29.402] [main-module:00F11115]: c7 05 c8 c1 f2 00 00 00 00 00       mov dword ptr [0xf2c1c8], 0x0      
[14:11:29.402] [main-module:00F1111F]: c7 05 cc c1 f2 00 00 00 00 00       mov dword ptr [0xf2c1cc], 0x0      
[14:11:29.402] [main-module:00F11129]: c7 05 cb c6 f2 00 00 00 00 00       mov dword ptr [0xf2c6cb], 0x0      
[14:11:29.402] [main-module:00F11133]: 66 c7 05 d0 c1 f2 00 64 00          mov word ptr [0xf2c1d0], 0x64      
[14:11:29.402] [main-module:00F1113C]: ff 15 40 40 f3 00                   call dword ptr [0xf34040]          
    [KERNEL32.DLL:GetCommandLineA_0EAC2B76] ()
[14:11:29.402] [main-module:00F11142]: c7 05 d3 c6 f2 00 e3 e6 f2 00       mov dword ptr [0xf2c6d3], 0xf2e6e3 
[14:11:29.402] [main-module:00F1114C]: 89 c6                               mov esi, eax                       
[14:11:29.402] [main-module:00F1114E]: bf e3 c6 f2 00                      mov edi, 0xf2c6e3                  
[14:11:29.402] [main-module:00F11153]: ac                                  lodsb byte ptr [esi]               
[14:11:29.402] [main-module:00F11154]: 3c 20                               cmp al, 0x20                       
